date,units,month_cum_units,slab_rate,energy_cost,vat,recharge_amount,fixed_charge,balance,is_recharge_day
2026-02-28,5,155,5.26,26.3,1.32,0.0,0.0,673.98,False
2026-03-01,9,9,4.63,41.67,2.08,0.0,0.0,630.23,False
2026-03-02,8,17,4.63,37.04,1.85,0.0,0.0,591.34,False
2026-03-03,11,28,4.63,50.93,2.55,0.0,0.0,537.86,False
2026-03-04,10,38,4.63,46.3,2.32,0.0,0.0,489.24,False
2026-03-05,8,46,4.63,37.04,1.85,0.0,0.0,450.35,False
2026-03-06,9,55,4.63,41.67,2.08,400.0,82.0,724.6,True
2026-03-07,7,62,4.63,32.41,1.62,0.0,0.0,690.57,False
2026-03-08,12,74,4.63,55.56,2.78,0.0,0.0,632.23,False
2026-03-09,12,86,5.26,63.12,3.16,0.0,0.0,565.95,False
2026-03-10,7,93,5.26,36.82,1.84,0.0,0.0,527.29,False
2026-03-11,9,102,5.26,47.34,2.37,0.0,0.0,477.58,False
2026-03-12,9,111,5.26,47.34,2.37,400.0,0.0,827.87,True
2026-03-13,8,119,5.26,42.08,2.1,0.0,0.0,783.69,False
2026-03-14,6,125,5.26,31.56,1.58,0.0,0.0,750.55,False
2026-03-15,5,130,5.26,26.3,1.32,0.0,0.0,722.93,False
2026-03-16,8,138,5.26,42.08,2.1,0.0,0.0,678.75,False
2026-03-17,10,148,5.26,52.6,2.63,0.0,0.0,623.52,False
2026-03-18,12,160,5.26,63.12,3.16,0.0,0.0,557.24,False
2026-03-19,7,167,5.26,36.82,1.84,700.0,0.0,1218.58,True
2026-03-20,11,178,5.26,57.86,2.89,0.0,0.0,1157.83,False
2026-03-21,12,190,5.26,63.12,3.16,0.0,0.0,1091.55,False
2026-03-22,9,199,5.26,47.34,2.37,0.0,0.0,1041.84,False
2026-03-23,7,206,5.63,39.41,1.97,0.0,0.0,1000.46,False
2026-03-24,3,209,5.63,16.89,0.84,0.0,0.0,982.73,False
2026-03-25,8,217,5.63,45.04,2.25,0.0,0.0,935.44,False
2026-03-26,9,226,5.63,50.67,2.53,0.0,0.0,882.24,False
2026-03-27,9,235,5.63,50.67,2.53,0.0,0.0,829.04,False
2026-03-28,11,246,5.63,61.93,3.1,0.0,0.0,764.01,False
2026-03-29,8,254,5.63,45.04,2.25,0.0,0.0,716.72,False
2026-03-30,11,265,5.63,61.93,3.1,0.0,0.0,651.69,False
2026-03-31,10,275,5.63,56.3,2.82,0.0,0.0,592.57,False
2026-04-01,13,13,4.63,60.19,3.01,900.0,82.0,1347.37,True
2026-04-02,20,33,4.63,92.6,4.63,0.0,0.0,1250.14,False
2026-04-03,16,49,4.63,74.08,3.7,0.0,0.0,1172.36,False
2026-04-04,18,67,4.63,83.34,4.17,0.0,0.0,1084.85,False
2026-04-05,13,80,5.26,68.38,3.42,0.0,0.0,1013.05,False
2026-04-06,17,97,5.26,89.42,4.47,0.0,0.0,919.16,False
2026-04-07,16,113,5.26,84.16,4.21,0.0,0.0,830.79,False
2026-04-08,14,127,5.26,73.64,3.68,0.0,0.0,753.47,False
2026-04-09,19,146,5.26,99.94,5.0,0.0,0.0,648.53,False
2026-04-10,11,157,5.26,57.86,2.89,0.0,0.0,587.78,False
2026-04-11,12,169,5.26,63.12,3.16,900.0,0.0,1421.5,True
2026-04-12,14,183,5.26,73.64,3.68,0.0,0.0,1344.18,False
2026-04-13,17,200,5.26,89.42,4.47,0.0,0.0,1250.29,False
2026-04-14,13,213,5.63,73.19,3.66,0.0,0.0,1173.44,False
2026-04-15,16,229,5.63,90.08,4.5,0.0,0.0,1078.86,False
2026-04-16,14,243,5.63,78.82,3.94,0.0,0.0,996.1,False
2026-04-17,17,260,5.63,95.71,4.79,0.0,0.0,895.6,False
2026-04-18,12,272,5.63,67.56,3.38,0.0,0.0,824.66,False
2026-04-19,14,286,5.63,78.82,3.94,0.0,0.0,741.9,False
2026-04-20,13,299,5.63,73.19,3.66,0.0,0.0,665.05,False
2026-04-21,18,317,5.83,104.94,5.25,800.0,0.0,1354.86,True
2026-04-22,15,332,5.83,87.45,4.37,0.0,0.0,1263.04,False
2026-04-23,10,342,5.83,58.3,2.92,0.0,0.0,1201.82,False
2026-04-24,14,356,5.83,81.62,4.08,0.0,0.0,1116.12,False
2026-04-25,13,369,5.83,75.79,3.79,0.0,0.0,1036.54,False
2026-04-26,8,377,5.83,46.64,2.33,0.0,0.0,987.57,False
2026-04-27,9,386,5.83,52.47,2.62,0.0,0.0,932.48,False
2026-04-28,9,395,5.83,52.47,2.62,0.0,0.0,877.39,False
2026-04-29,19,414,9.3,176.7,8.84,0.0,0.0,691.85,False
2026-04-30,10,424,9.3,93.0,4.65,600.0,0.0,1194.2,True
2026-05-01,27,27,4.63,125.01,6.25,0.0,0.0,1062.94,False
2026-05-02,11,38,4.63,50.93,2.55,0.0,0.0,1009.46,False
2026-05-03,13,51,4.63,60.19,3.01,0.0,0.0,946.26,False
2026-05-04,19,70,4.63,87.97,4.4,0.0,0.0,853.89,False
2026-05-05,19,89,5.26,99.94,5.0,1600.0,82.0,2266.95,True
2026-05-06,18,107,5.26,94.68,4.73,0.0,0.0,2167.54,False
2026-05-07,31,138,5.26,163.06,8.15,0.0,0.0,1996.33,False
2026-05-08,16,154,5.26,84.16,4.21,0.0,0.0,1907.96,False
2026-05-09,26,180,5.26,136.76,6.84,0.0,0.0,1764.36,False
2026-05-10,24,204,5.63,135.12,6.76,0.0,0.0,1622.48,False
2026-05-11,15,219,5.63,84.45,4.22,0.0,0.0,1533.81,False
2026-05-12,28,247,5.63,157.64,7.88,0.0,0.0,1368.29,False
2026-05-13,20,267,5.63,112.6,5.63,0.0,0.0,1250.06,False
2026-05-14,24,291,5.63,135.12,6.76,0.0,0.0,1108.18,False
2026-05-15,22,313,5.83,128.26,6.41,0.0,0.0,973.51,False
2026-05-16,23,336,5.83,134.09,6.7,0.0,0.0,832.72,False
2026-05-17,19,355,5.83,110.77,5.54,2000.0,0.0,2716.41,True
2026-05-18,19,374,5.83,110.77,5.54,0.0,0.0,2600.1,False
2026-05-19,12,386,5.83,69.96,3.5,0.0,0.0,2526.64,False
2026-05-20,31,417,9.3,288.3,14.42,0.0,0.0,2223.92,False
2026-05-21,23,440,9.3,213.9,10.7,0.0,0.0,1999.32,False
2026-05-22,19,459,9.3,176.7,8.84,0.0,0.0,1813.78,False
2026-05-23,28,487,9.3,260.4,13.02,0.0,0.0,1540.36,False
2026-05-24,25,512,9.3,232.5,11.63,0.0,0.0,1296.23,False
2026-05-25,23,535,9.3,213.9,10.7,0.0,0.0,1071.63,False
2026-05-26,28,563,9.3,260.4,13.02,4300.0,0.0,5098.21,True
2026-05-27,19,582,9.3,176.7,8.84,0.0,0.0,4912.67,False
2026-05-28,27,609,10.7,288.9,14.45,0.0,0.0,4609.32,False
2026-05-29,23,632,10.7,246.1,12.31,0.0,0.0,4350.91,False
2026-05-30,27,659,10.7,288.9,14.45,0.0,0.0,4047.56,False
2026-05-31,14,673,10.7,149.8,7.49,0.0,0.0,3890.27,False
2026-06-01,19,19,4.63,87.97,4.4,0.0,0.0,3797.9,False
2026-06-02,21,40,4.63,97.23,4.86,0.0,0.0,3695.81,False
2026-06-03,16,56,4.63,74.08,3.7,0.0,0.0,3618.03,False
2026-06-04,23,79,5.26,120.98,6.05,0.0,0.0,3491.0,False
2026-06-05,18,97,5.26,94.68,4.73,0.0,0.0,3391.59,False
2026-06-06,11,108,5.26,57.86,2.89,0.0,0.0,3330.84,False
2026-06-07,25,133,5.26,131.5,6.58,0.0,0.0,3192.76,False
2026-06-08,29,162,5.26,152.54,7.63,0.0,0.0,3032.59,False
2026-06-09,21,183,5.26,110.46,5.52,0.0,0.0,2916.61,False
2026-06-10,8,191,5.26,42.08,2.1,0.0,0.0,2872.43,False
2026-06-11,29,220,5.63,163.27,8.16,0.0,0.0,2701.0,False
2026-06-12,31,251,5.63,174.53,8.73,0.0,0.0,2517.74,False
2026-06-13,22,273,5.63,123.86,6.19,0.0,0.0,2387.69,False
2026-06-14,18,291,5.63,101.34,5.07,0.0,0.0,2281.28,False
2026-06-15,14,305,5.83,81.62,4.08,0.0,0.0,2195.58,False
2026-06-16,18,323,5.83,104.94,5.25,0.0,0.0,2085.39,False
2026-06-17,19,342,5.83,110.77,5.54,0.0,0.0,1969.08,False
2026-06-18,22,364,5.83,128.26,6.41,0.0,0.0,1834.41,False
2026-06-19,28,392,5.83,163.24,8.16,0.0,0.0,1663.01,False
2026-06-20,12,404,9.3,111.6,5.58,0.0,0.0,1545.83,False
2026-06-21,12,416,9.3,111.6,5.58,0.0,0.0,1428.65,False
2026-06-22,14,430,9.3,130.2,6.51,0.0,0.0,1291.94,False
2026-06-23,18,448,9.3,167.4,8.37,0.0,0.0,1116.17,False
2026-06-24,25,473,9.3,232.5,11.63,0.0,0.0,872.04,False
2026-06-25,18,491,9.3,167.4,8.37,900.0,82.0,1514.27,True
2026-06-26,18,509,9.3,167.4,8.37,0.0,0.0,1338.5,False
2026-06-27,21,530,9.3,195.3,9.77,0.0,0.0,1133.43,False
2026-06-28,18,548,9.3,167.4,8.37,0.0,0.0,957.66,False
2026-06-29,21,569,9.3,195.3,9.77,1300.0,0.0,2052.59,True
2026-06-30,14,583,9.3,130.2,6.51,0.0,0.0,1915.88,False
